"ID","MemVal","PrimaryKey","AH_NonNoxPerenForbCover","AH_NonNoxPerenGrassCover","AH_NonNoxShrubCover","AH_NonNoxSubShrubCover","AH_NonNoxSucculentCover","AH_NonNoxTreeCover","AH_NoxCover","FH_NonNoxPerenGrassCover","GapCover_101_200","GapCover_200_plus","BareSoilCover","TotalFoliarCover","MeanGap","MeanMaxHeight","ScaledGap","LargeGaps","horizontal_flux_total_MD","Cluster"
"1",0.757,"1611141556434902016-09-01",0.66666667,8.66666667,3,0.33333333,0,0,23,6.33333333,20.2266666666667,62.6666666666667,21.3333333333333,57.3333333333333,200.088235294118,40.0333333333333,4.99804084831268,82.8933333333334,4.447939122,"C4"
"182",0.776,"1000000302018-09-01",1,0,10.66666667,0,0.66666667,0,0,0,4.18666666666667,82.5866666666667,4.66666666666667,43,352.947368421053,20.551724137931,17.1736135641116,86.7733333333334,8.137042359,"C4"
"16",0.806,"16112309202346402016-09-01",2,0,20,0.33333333,0,0,0,0,9.49333333333333,74.56,29.6666666666667,40,281.958333333333,36.9333333333333,7.63425090252708,84.0533333333333,7.158437949,"C4"
"208",0.818,"18101512024679432018-09-01",3.33333333,7.66666667,8,0,0,0,0,4.33333333,20.36,22.9733333333333,17,22,83.0151515151515,15.0714285714286,5.50811431854086,43.3333333333333,4.134697119,"C4"
"325",0.857,"NML00000_2020_Gravel_0752019-09-01",0.33333333,3,21.33333333,0,0,0,0,3,12.44,41.9866666666667,8.33333333333333,24.6666666666667,152.4,55.5,2.74594594594595,54.4266666666667,0.452538286,"C4"
"651",0.859,"20173553200508B3",0.99009901,19.8019802,2.97029703,0,0,0,0,18.81188119,25.8666666666667,25.7666666666667,1.98019801980198,22.7722772277228,120.161538461538,15.4608695652174,7.77197802197802,51.6333333333334,1.674729039,"C4"
"413",0.863,"NMP02000_Year1_Foothills_3132019-09-01",9.33333333,4.66666667,12.66666667,3.33333333,2.66666667,0.66666667,0,4.66666667,33.84,19.4666666666667,16.6666666666667,30,94.4126984126984,32.3666666666667,2.9169731744397,53.3066666666667,6.289045799,"C4"
"301",0.879,"NML00000_2019_Sandy_5002019-09-01",0,12.66666667,4.33333333,10.33333333,0,0,0,10,15.52,53.1866666666667,34,23.3333333333333,180.84375,60.1428571428571,3.00690320665083,68.7066666666667,2.48222144,"C4"
"650",0.897,"20173553200508B2",1.98019802,4.95049505,8.91089109,0,0,0,0,1.98019802,17.8,29.5666666666666,22.7722772277228,21.7821782178218,159.559255813953,33.2232,4.80264561553232,47.3666666666666,3.411626549,"C4"
"326",0.899,"NML00000_2019_Gravel_0632019-09-01",0.66666667,1.33333333,25,0,0.66666667,0,0,0.33333333,13.56,44.0666666666667,8,26,201.04,67.1818181818182,2.99247631935047,57.6266666666667,0.59439485,"C4"
"79",0.903,"17121912332668922017-09-01",1,7,7,2,0,0,0,5,25.2,44.0666666666667,31.3333333333333,31.3333333333333,145.204545454545,28.4827586206897,5.09798040942109,69.2666666666667,8.962604843,"C4"
"309",0.917,"NML00000_2019_GSand_1542019-09-01",0,0.33333333,19.33333333,0,0,0,0,0.33333333,16.0933333333333,42.0266666666667,29,22.3333333333333,155.34375,54.1304347826087,2.86980421686747,58.12,1.630993745,"C4"
"414",0.921,"NMP02000_2019_Reclaim_1002019-09-01",0,0,0.47619048,8.57142857,0,0,2.38095238,0,7.47619047619048,48.8380952380952,22.8571428571429,31.4285714285714,162.086956521739,25.12,6.45250623096095,56.3142857142857,14.78605782,"C4"
"317",0.922,"NML00000_2019_Gravel_0662019-09-01",0,23,0,0.33333333,0,0,0,23,9.30666666666667,52.88,32.3333333333333,23.3333333333333,188.258064516129,31.2857142857143,6.01738105759317,62.1866666666667,4.514705533,"C4"
"467",0.922,"20163551201601B1",0,18.81188119,7.92079208,1.98019802,0,0,0,15.84158416,34.6333333333333,13.9,18.8118811881188,24.7524752475248,109.139789473684,14.9225,7.31377379619261,48.5333333333333,18.67355779,"C4"
"412",0.934,"NMP02000_Year1_Foothills_3172019-09-01",1.33333333,15.33333333,0,3.33333333,0.66666667,0,0,15.33333333,35.8666666666667,14.6266666666667,7.33333333333333,20.6666666666667,87.7222222222222,18.4,4.76751207729469,50.4933333333334,9.785465475,"C4"
"239",0.937,"18111413233697932018-09-01",2,3.66666667,5.33333333,8.66666667,1,0,0,3.66666667,31.8266666666667,20.44,4.33333333333333,20,90.1076923076923,20.3076923076923,4.43712121212121,52.2666666666667,0.865561757,"C4"
"78",0.937,"17120108013662422017-09-01",0,0,5.66666667,0,0,0,0,0,3.54666666666667,86.04,12.6666666666667,7,431.75,18,23.9861111111111,89.5866666666667,28.18323789,"C4"
"495",0.938,"20153551201613B1",1.98019802,0,5.94059406,0,0,0,0,0,8.96666666666668,76.9333333333333,20.7920792079208,7.92079207920792,295.982571428571,22.86,12.947619047619,85.9,18.73107248,"C4"
"466",0.946,"20163551201503B2",0,13.86138614,15.84158416,0,0,0,0,12.87128713,15.6,40.7666666666667,13.8613861386139,28.7128712871287,166.074810810811,47.9425,3.46404152496868,56.3666666666667,1.979181594,"C4"
"340",0.951,"NML00000_2020_Gravel_0702019-09-01",0,4.33333333,15,0.33333333,0,0,0,1.66666667,23.9333333333333,45.2133333333333,33.6666666666667,17.6666666666667,176.382352941176,42.2222222222222,4.17747678018576,69.1466666666666,3.958597027,"C4"
"5",0.96,"16081110402163562016-09-01",4.66666667,0,26,2.33333333,1.33333333,0,0,0,17.72,55.84,5,31,179.833333333333,58.1304347826087,3.09361755173274,73.56,0.519207108,"C4"
"462",0.966,"20163551200518B2",5.94059406,0,0.99009901,2.97029703,0,0,0,0,18.1666666666667,62.1,1.98019801980198,9.9009900990099,458.682810810811,17.4811764705882,26.2386694386694,80.2666666666667,3.129083622,"C4"
"138",0.968,"17102307510133062017-09-01",2,3.66666667,15,0,0,0,0,2.33333333,23.4533333333333,36.4,2.33333333333333,26.6666666666667,128.818181818182,25.2692307692308,5.09782759097828,59.8533333333333,0.633972842,"C4"
"472",0.969,"20163553200517B2",0,8.91089109,0.99009901,0.99009901,0.99009901,0,0,8.91089109,12.2666666666667,70.1666666666667,9.9009900990099,11.8811881188119,232.240666666667,8.46666666666667,27.43,82.4333333333334,31.90836433,"C4"
"635",0.972,"20173535201002B2",0,5.26315789,15.78947368,0,0,0,0,5.26315789,13.8333333333333,34.5333333333333,15.7894736842105,19.7368421052632,235.1532,34.6528571428571,6.78596858638744,48.3666666666666,13.38423465,"C4"
"21",0.973,"16111616413783122016-09-01",4.66666667,5,4.33333333,0,0,0,0,5,17.4933333333333,70.0266666666667,7,14,242.655172413793,12.1666666666667,19.9442607463392,87.52,17.89725194,"C4"
"260",0.975,"18100214473894502018-09-01",0,0,24.66666667,0,0,0,0,0,11.28,63.4,19.6666666666667,24.6666666666667,322.666666666667,113.25,2.84915378955114,74.68,0.511086097,"C4"
"471",0.977,"20163553200517B1",0,4.95049505,0.99009901,5.94059406,0.99009901,0,0,3.96039604,19.7666666666666,55.8,21.7821782178218,11.8811881188119,185.928,10.0541666666667,18.4926315789474,75.5666666666666,65.75499883,"C4"
"307",0.979,"NML00000_2019_GSand_1562019-09-01",1.33333333,9,9.66666667,0,0.33333333,0,0,7.66666667,21.9866666666667,29.12,11.6666666666667,19,107.423076923077,29.1428571428571,3.68608597285068,51.1066666666667,1.767908441,"C4"
"287",0.982,"18091914171476982018-09-01",1.66666667,5.33333333,0.66666667,5,0,0,0,5,23.2533333333333,44.24,28.6666666666667,15.3333333333333,130.26,11.7,11.1333333333333,67.4933333333333,50.66459972,"C4"
"566",0.982,"20123515030501R2",2.97029703,3.96039604,0.99009901,0,0,0,0,3.96039604,17.2,51.1666666666667,26.7326732673267,8.91089108910891,195.834,20.7645,9.43119266055046,68.3666666666667,44.21322922,"C4"
"127",0.984,"17091809452819232017-09-01",8.33333333,6,9.66666667,0,0.33333333,0,0,4,3.93333333333333,61.52,30.3333333333333,23.6666666666667,168.945945945946,22.6,7.47548433389141,65.4533333333333,9.082237789,"C4"
"312",0.984,"NML00000_2019_GSand_1532019-09-01",0.33333333,0,13.66666667,0,0,0,0,0,24.28,41.1066666666667,31.3333333333333,16.6666666666667,150.25641025641,32.4782608695652,4.62636872275426,65.3866666666667,6.80530123,"C4"
"668",0.984,"2018355200802B3",0,19.8019802,7.92079208,0.99009901,0,0,0,19.8019802,19.2333333333333,41.9333333333333,6.93069306930693,28.7128712871287,193.929,18.7207407407407,10.3590452261307,61.1666666666666,7.228485019,"C4"
"410",0.985,"NMP02000_2019_Reclaim_0722019-09-01",6,14,0.66666667,0.66666667,0,0.66666667,0,12.66666667,26.5266666666667,25.9466666666667,10.6666666666667,20.6666666666667,100.571428571429,17.4827586206897,5.75260636799098,52.4733333333334,12.72886163,"C4"
