"","PrimaryKey","GapCover_101_200","GapCover_200_plus","BareSoilCover","TotalFoliarCover","MeanGap","MeanMaxHeight","ScaledGap","MeanGap_1m","ScaledGap_1m"
"1","1000000302018-09-01",4.18666666666667,82.5866666666667,4.66666666666667,43,352.947368421053,20.551724137931,17.1736135641116,464.857142857143,22.6188878235858
"2","1000000772018-09-01",7.34666666666667,10.04,24.6666666666667,47.6666666666667,89.28,38.5,2.31896103896104,234,6.07792207792208
"3","1000000962018-09-01",3.53333333333333,0,20.3333333333333,63,48.6046511627907,22.2333333333333,2.18611624420348,132.5,5.95952023988006
"4","1000001012018-09-01",4.45333333333333,58.0266666666667,55,21.6666666666667,262.2,64.4166666666667,4.07037516170763,520.666666666667,8.08279430789133
"5","16080308105523902016-09-01",13.92,53.84,41.3333333333333,26.3333333333333,210.37037037037,65.4090909090909,3.21622525931074,298.941176470588,4.57033070351143
"6","16080508464174862016-09-01",3.46666666666667,62.2266666666667,46.3333333333333,30,231.958333333333,72.0769230769231,3.21820526503024,359.071428571429,4.98178075926208
"7","16080909153224072016-09-01",11.3866666666667,15.2266666666667,23.6666666666667,58.6666666666667,73.5714285714286,39.1071428571429,1.88127853881279,209.6,5.35963470319635
"8","16080914253681042016-09-01",14.0533333333333,0,13,59.6666666666667,53.2786885245902,31.5862068965517,1.68677070656454,131.75,4.17112445414847
"9","16081110402163562016-09-01",17.72,55.84,5,31,179.833333333333,58.1304347826087,3.09361755173274,267.47619047619,4.6013106813406
"10","16081114554791692016-09-01",20.2933333333333,51.64,8,26.3333333333333,165.179487179487,34.8461538461538,4.74025018395879,269.75,7.74116997792494
"11","16081211131054762016-09-01",29.3733333333333,23.9466666666667,4,41.6666666666667,100.290909090909,46.4736842105263,2.15801503140122,190.428571428571,4.09755702960686
"12","16081508511172662016-09-01",6.96,70.8,55.3333333333333,16.6666666666667,325.368421052632,38.4642857142857,8.45897473488736,448.615384615385,11.6631669166488
"13","16081513041892142016-09-01",15.1333333333333,39.9066666666667,47,30.6666666666667,113.588235294118,25.88,4.38903536685153,275.2,10.6336939721793
"14","16081609081889162016-09-01",22.4933333333333,38,13,42,138.7,40.962962962963,3.38598553345389,216.047619047619,5.27421854817876
"15","16081709161231012016-09-01",1.65333333333333,92.3066666666667,74.6666666666667,7,708.3,37.4,18.9385026737968,783,20.9358288770053
"16","16081712471161842016-09-01",8.73333333333333,86.0666666666667,38.3333333333333,12,398.888888888889,11.84,33.6899399399399,444.375,37.5316722972973
"17","16082408544987542016-09-01",16.9733333333333,60.8266666666667,79.6666666666667,14.6666666666667,178.131578947368,27.4545454545455,6.48823631927501,291.75,10.6266556291391
"18","16082413194684612016-09-01",25.5333333333333,33.8,35,17,98.9701492537313,18.7407407407407,5.28101586927025,193.478260869565,10.3239388211033
"19","16082509252268562016-09-01",11.3466666666667,58.4266666666667,51,29.3333333333333,194.548387096774,61.7,3.15313431275161,275.421052631579,4.46387443487162
"20","16083116262962852016-09-01",6.01333333333333,76.04,42,13.3333333333333,422.466666666667,39.75,10.6280922431866,512.833333333333,12.9014675052411
"21","16083116280973132016-09-01",22.0133333333333,24.6,2.33333333333333,44.6666666666667,106.040816326531,56.5555555555556,1.87498496451626,184,3.25343811394892
"22","16090712373970722016-09-01",9.12,76.2,56,16,223.8125,17.1379310344828,13.0594818913481,319.95,18.6691146881288
"23","1609071345385512016-09-01",13.28,74.92,59,18.6666666666667,244.896551724138,21.3333333333333,11.479525862069,348.157894736842,16.3199013157895
"24","16090715080974402016-09-01",8.85333333333333,11.68,2.33333333333333,71,74.2325581395349,68.8571428571429,1.07806619704719,171.111111111111,2.48501613646842
"25","16090814021780972016-09-01",8.98666666666667,36.5466666666667,45,37,110.630434782609,35.2592592592593,3.13762787723785,234.333333333333,6.64600840336134
"26","16091514123243082016-09-01",18.3333333333333,23.72,40,48.3333333333333,92.0892857142857,30.7241379310345,2.99729437229437,203.375,6.61938832772166
"27","16091515362664052016-09-01",29.56,40.08,3.66666666666667,44,147.292682926829,62.0344827586207,2.374367873751,208.92,3.36780433574208
"28","16092913305366702016-09-01",5.46666666666667,54.7466666666667,8.33333333333333,34,165.545454545455,54.7307692307692,3.02472369513831,271.529411764706,4.961183911372
"29","16092914272089492016-09-01",15.9466666666667,43.5066666666667,45.6666666666667,36.3333333333333,136.727272727273,27.7,4.93600262553331,278.6875,10.0609205776173
"30","16092916023889462016-09-01",20,28.16,22,49.6666666666667,112.911111111111,50.7666666666667,2.22411906325235,200.666666666667,3.95272488509521
"31","16100310170018152016-09-01",3.16,82.6933333333333,68.6666666666667,18,398.705882352941,79.7,5.00258321647354,715.444444444444,8.97671824898926
"32","16100313165889972016-09-01",9.58666666666667,75.1466666666667,55.6666666666667,21.3333333333333,366.833333333333,31.72,11.5647330811265,453.928571428571,14.3104845973698
"33","1610040933567712016-09-01",31.4533333333333,13.28,48.3333333333333,39.3333333333333,81.0266666666667,19.2333333333333,4.21282495667244,167.75,8.72183708838821
"34","16100510513021652016-09-01",0,62.4666666666667,53.3333333333333,34,596.625,82,7.27591463414634,669.285714285714,8.16202090592335
"35","16100515373142542016-09-01",7.24,56.8533333333333,45,31,166.764705882353,61.1,2.72937325503033,300.4375,4.91714402618658
"36","16100612215065372016-09-01",24.24,27.1333333333333,11.3333333333333,60,106.018867924528,37.5666666666667,2.82215265105222,214.055555555556,5.69801833776989
"37","16101110223237672016-09-01",16.32,6.37333333333333,0.666666666666667,73.3333333333333,83.8333333333333,77.8965517241379,1.07621366386307,154.727272727273,1.98631735683528
"38","16101209373242852016-09-01",25.5866666666667,26.44,10,50.6666666666667,129.947368421053,40.2333333333333,3.22984345702699,205.368421052632,5.10443465748049
"39","16101214200883052016-09-01",6.49333333333333,22.3066666666667,26,65.3333333333333,114.444444444444,70.52,1.62286506585996,308.571428571429,4.37565837452394
"40","16101308525035072016-09-01",21.5333333333333,34.4266666666667,9,51.6666666666667,138.72972972973,50.2068965517241,2.76316082566083,220.894736842105,4.39968912666281
"41","16101315290628462016-09-01",7.52,77.48,59.3333333333333,20,434.933333333333,48.1052631578947,9.04128373450036,531.25,11.0434901531729
"42","16101316253652552016-09-01",15.0933333333333,9.97333333333333,5.66666666666667,62.3333333333333,74.0980392156863,58.5357142857143,1.26586034047542,188,3.21171446003661
"43","16101710150739482016-09-01",28.2533333333333,35.64,35,35,112.322033898305,23.4666666666667,4.78645030816641,174.714285714286,7.44521103896104
"44","16101715173474852016-09-01",19.3733333333333,39.2266666666667,24.3333333333333,61.3333333333333,141.243902439024,39.7333333333333,3.55479620232444,258.529411764706,6.50661271219897
"45","16101810083750302016-09-01",13.8933333333333,6.24,2,71,61.7692307692308,44.2666666666667,1.39538924930491,151,3.41114457831325
"46","16101909591228152016-09-01",28.5866666666667,29.4666666666667,22.6666666666667,53,124.818181818182,38.2666666666667,3.26179917643332,193.652173913043,5.06059687926072
"47","16101914152397652016-09-01",7.52,69.52,67.6666666666667,24,254.75,72.3636363636364,3.52041457286432,385.2,5.32311557788945
"48","16102710331232972016-09-01",23.92,18,4.33333333333333,50.6666666666667,88.4516129032258,39.9310344827586,2.21510947685108,174.666666666667,4.37420840529649
"49","16102712080361972016-09-01",17.7733333333333,63.04,10.3333333333333,25.3333333333333,222.793103448276,33.5769230769231,6.63530434095667,275.5,8.20504009163803
"50","16102714453525922016-09-01",11.4133333333333,65.1066666666667,38.6666666666667,37.6666666666667,193.852941176471,38.7142857142857,5.00727154330367,318.833333333333,8.23554735547355
"51","16103116133681472016-09-01",25.6,32.48,19.6666666666667,52,127.863636363636,44.9285714285714,2.84593149299032,207.428571428571,4.61685214626391
"52","16110308174761592016-09-01",17.9066666666667,62.64,14.6666666666667,23.6666666666667,218.366666666667,31.3809523809524,6.95857359635812,274.590909090909,8.75024141260864
"53","16110309160357792016-09-01",6.48,0,0.333333333333333,88,46.15,53.8,0.857806691449814,121.5,2.25836431226766
"54","16110311203199692016-09-01",15.24,70.1466666666667,48,27.3333333333333,246.862068965517,21.7241379310345,11.3634920634921,355.777777777778,16.3770723104056
"55","16110816162981262016-09-01",6.32,73.2133333333333,62,21.3333333333333,290.454545454545,23.1538461538462,12.544548474781,397.666666666667,17.1749723145072
"56","1611141556434902016-09-01",20.2266666666667,62.6666666666667,21.3333333333333,57.3333333333333,200.088235294118,40.0333333333333,4.99804084831268,252.68,6.31174021648626
"57","16111616394616792016-09-01",13.6533333333333,4.48,0,91.3333333333333,65.0526315789474,105.566666666667,0.616223223040234,151.111111111111,1.43142827070835
"58","16111616402732582016-09-01",6.81333333333333,14.52,0.333333333333333,86.3333333333333,70.62,69.8,1.01174785100287,177.777777777778,2.54695956701687
"59","16111616411999302016-09-01",6.21333333333333,75.64,54.3333333333333,16,316.47619047619,35.3076923076923,8.9633779437701,472.230769230769,13.3747276688453
"60","16111616413783122016-09-01",17.4933333333333,70.0266666666667,7,14,242.655172413793,12.1666666666667,19.9442607463392,328.2,26.9753424657534
"61","16111616421338472016-09-01",23.6133333333333,48.9466666666667,5.66666666666667,30.3333333333333,166.486486486486,40.7931034482759,4.08124100431793,236.608695652174,5.80021316476166
"62","16111616431594222016-09-01",24.6133333333333,11.6933333333333,2.33333333333333,58.3333333333333,85.0181818181818,55.8666666666667,1.52180516380994,160.176470588235,2.86712059525481
"63","16111616433990922016-09-01",16.7466666666667,51.0533333333333,52.3333333333333,23.6666666666667,156.769230769231,26.5833333333333,5.89727513865445,235.681818181818,8.86577372470789
"64","16112309202346402016-09-01",9.49333333333333,74.56,29.6666666666667,40,281.958333333333,36.9333333333333,7.63425090252708,394,10.6678700361011
"65","1611231027411542016-09-01",7.41333333333333,53.64,8.33333333333333,44,233.136363636364,49.1666666666667,4.74175654853621,327.071428571429,6.65230024213075
"66","16112311152389002016-09-01",5.78666666666667,81.4666666666667,62.6666666666667,16,506.384615384615,32,15.8245192307692,545.333333333333,17.0416666666667
"67","16112312420512502016-09-01",6.17333333333333,53.72,30,50.6666666666667,177.862068965517,40.0333333333333,4.44284934967986,320.857142857143,8.01474961341739
"68","16120114151030462016-09-01",13.68,7.98666666666667,3.33333333333333,80,71.8333333333333,77.1,0.931690445309122,162.5,2.10765239948119
"69","16120115331089512016-09-01",6.12,30.48,39,50.6666666666667,107.25,29.1333333333333,3.68135011441648,343.125,11.7777459954233
"70","16120116430894482016-09-01",9.6,73.6266666666667,52,25.3333333333333,240.862068965517,37,6.50978564771668,367.176470588235,9.92368839427663
"71","1708030847324132017-09-01",24.52,9.46666666666667,3.33333333333333,39,96.725,68.0416666666667,1.42155541947336,159.3125,2.3413962033068
"72","17080811053859472017-09-01",20.9866666666667,45.48,14.6666666666667,25.3333333333333,141.232558139535,31.4230769230769,4.49454897384077,249.25,7.93206854345165
"73","17080816441181412017-09-01",21.8933333333333,14.32,49.6666666666667,28.3333333333333,77.1388888888889,28.4333333333333,2.71297381789762,169.75,5.97010550996483
"74","17080910262395282017-09-01",18.68,31.4,6,24.3333333333333,89.3142857142857,23.448275862069,3.80899159663866,192.8,8.22235294117647
"75","17080914104578892017-09-01",6.01333333333333,63.2266666666667,52.6666666666667,21.6666666666667,241.478260869565,84.8571428571429,2.8457034109208,370.928571428571,4.37121212121212
